City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
38,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
39,Vaini,TO,69.8,few clouds,-21.2,-175.2,Little Italy Hotel
40,Rizhao,CN,47.84,clear sky,35.4275,119.4553,Novotel Rizhao Suning
41,Busselton,AU,54.0,clear sky,-33.65,115.3333,Observatory Guest House
42,Chuy,UY,76.15,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
43,Zhigalovo,RU,27.93,light snow,54.8097,105.1578,"Hotel ""Lenatur"""
44,Auki,SB,77.04,moderate rain,-8.7676,160.7034,Auki Motel
45,Upernavik,GL,-2.34,clear sky,72.7868,-56.1549,Gina's Guesthouse - Upernavik
46,New Norfolk,AU,46.99,clear sky,-42.7826,147.0587,Riverfront Motel & Villas
47,Riyadh,SA,75.2,dust,24.6877,46.7219,ibis Riyadh Olaya Street
48,Longyearbyen,SJ,-1.98,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
49,Karpogory,RU,20.55,light snow,64.0019,44.4451,Hotel Pinezhskaya Sloboda
50,Mata De Sao Joao,BR,86.0,scattered clouds,-12.5303,-38.2992,Sítio Sapiranga
51,Nikolskoye,RU,39.2,scattered clouds,59.7035,30.7861,Izhora
52,Vostok,RU,20.64,overcast clouds,46.4856,135.8833,Adonis
53,Hilo,US,68.0,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
54,Bluff,NZ,45.0,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
55,Arraial Do Cabo,BR,84.2,few clouds,-22.9661,-42.0278,Pousada Porto Praia
56,Kruisfontein,ZA,75.0,scattered clouds,-34.0033,24.7314,On The Bay Guesthouse
57,Iqaluit,CA,-13.0,snow,63.7506,-68.5145,Frobisher Inn
58,Bredasdorp,ZA,80.6,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
59,East London,ZA,82.4,clear sky,-33.0153,27.9116,Tu Casa
60,Faanui,PF,81.88,light rain,-16.4833,-151.75,InterContinental Bora Bora Resort Thalasso Spa
61,Ponta Do Sol,PT,64.4,scattered clouds,32.6667,-17.1,Golden Residence Hotel
62,Khalabat,PK,66.0,moderate rain,34.06,72.8894,Village Mohra Khalifa
64,Pisco,PE,75.2,clear sky,-13.7,-76.2167,DoubleTree Resort by Hilton Paracas - Peru
65,Kearney,US,39.2,heavy intensity rain,40.6995,-99.0815,Holiday Inn Kearney
66,Mataura,NZ,45.0,clear sky,-46.1927,168.8643,Esplanade Motels
67,Jamestown,US,32.0,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
68,Bantogon,PH,79.09,overcast clouds,6.5333,124.0333,Kalamansig Greenhome
69,Tamale,GH,101.64,broken clouds,9.4008,-0.8393,Tap Hotel
70,Kapoeta,SS,93.16,scattered clouds,4.7717,33.5903,Eastgate Hotel
71,Barrow,US,-13.0,clear sky,71.2906,-156.7887,King Eider Inn
73,Kodiak,US,23.0,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
75,Nanortalik,GL,29.14,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
76,Crossville,US,52.0,overcast clouds,35.949,-85.0269,Club Wyndham Resort at Fairfield Glade
77,Te Horo,NZ,52.0,clear sky,-40.8084,175.1233,Kapiti Lindale Motel & Conference Centre
78,Port-Gentil,GA,87.8,few clouds,-0.7193,8.7815,Fengshui Residence
79,Yarega,RU,16.0,overcast clouds,63.4354,53.5765,Domashny Ochag
80,Yellowknife,CA,-9.0,few clouds,62.456,-114.3525,The Explorer Hotel
81,Lorengau,PG,80.92,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
82,Hermanus,ZA,80.01,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
83,Hansot,IN,82.4,smoke,21.5833,72.8,Hotel FavourEat
84,Mbale,UG,84.97,overcast clouds,1.0821,34.175,Wash And Wills Hotel
85,Fort Nelson,CA,5.0,light snow,58.8053,-122.7002,The Fort Nelson Hotel
86,West Richland,US,35.6,clear sky,46.3043,-119.3614,Holiday Inn Express & Suites Pasco-Tricities
87,Bay Roberts,CA,45.0,few clouds,47.5999,-53.2648,Stonewall Inn
88,Qaanaaq,GL,-1.7,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
89,Faya,SA,71.6,clear sky,18.3851,42.4509,Al Soda Resort ( For Families )
90,Port Alfred,ZA,77.0,broken clouds,-33.5906,26.891,The Halyards Hotel
91,Saldanha,ZA,75.2,scattered clouds,-33.0117,17.9442,Club Mykonos Resort
92,Paraiso,CR,81.0,clear sky,9.8383,-83.8656,Rinconcito Verde
93,Denizli,TR,51.8,clear sky,37.8402,29.0698,Hotel Pamukkale
94,Bengkulu,ID,77.14,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
95,Carnarvon,AU,80.6,clear sky,-24.8667,113.6333,Hospitality Carnarvon
96,Airai,TL,61.21,overcast clouds,-8.9266,125.4092,The St. Bakhita Centre Eraulo
97,Mareeba,AU,77.0,broken clouds,-17.0,145.4333,Jabiru Safari Lodge
98,Dandong,CN,39.29,clear sky,40.1292,124.3947,Yiranju Farmstay
99,Waipawa,NZ,53.6,clear sky,-41.4122,175.5153,Tora Coastal Walk
100,Bethel,US,37.99,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
101,San Carlos,VE,94.86,scattered clouds,9.6612,-68.5827,Hotel Paternopoli
102,Kavieng,PG,81.5,clear sky,-2.5744,150.7967,Lissenung Island Resort
103,Yar-Sale,RU,-12.41,broken clouds,66.8333,70.8333,Yalemd
104,Avarua,CK,77.0,scattered clouds,-21.2078,-159.775,Little Polynesian Resort
105,Klaksvik,FO,41.0,broken clouds,62.2266,-6.5889999999999995,Airbnb rooms
106,Bayan,CN,23.97,clear sky,46.0833,127.4,Wanhao Inn
107,Cabo San Lucas,MX,66.99,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
108,Coihaique,CL,64.4,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
109,Port Augusta,AU,60.8,clear sky,-32.5,137.7667,Majestic Oasis Apartments
110,Axim,GH,85.37,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
114,Izumo,JP,42.8,scattered clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
115,Hailun,CN,21.67,clear sky,47.45,126.9333,Wanhao Hotel
117,Fethiye,TR,59.0,broken clouds,36.6217,29.1164,Club & Hotel Letoonia
118,Jalpaiguri,IN,74.08,overcast clouds,26.5167,88.7333,Suncity Resort Lataguri
119,Aykhal,RU,-5.1,clear sky,66.0,111.5,Hotel Astoria
120,Odweyne,SO,77.85,clear sky,9.4092,45.06399999999999,Eng Hiirey House
122,Bend,US,41.0,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
124,Shagonar,RU,15.1,light snow,51.5333,92.8,Zolotyye Peski Plyazh
125,Yatou,CN,42.94,clear sky,37.15,122.3833,Chengshan Friendship Hotel
126,Beringovskiy,RU,16.12,clear sky,63.05,179.3167,Beringgorski
127,Vila,PT,51.01,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
128,Abalak,RU,20.3,overcast clouds,58.1286,68.5944,"Domashnyaya, Byuro Kvartirnogo Tipa"
129,Sayyan,YE,67.23,clear sky,15.1718,44.3244,Incense Caravan tour Operator
130,Boyolangu,ID,75.7,overcast clouds,-8.1181,111.8935,Hotel Istana
131,Tyukalinsk,RU,8.06,overcast clouds,55.8732,72.1967,"The recreation center ""Lebyazhye"""
132,Malazgirt,TR,20.25,clear sky,39.1427,42.5401,malazgirt otel
133,Sao Filipe,CV,73.51,clear sky,14.8961,-24.4956,Tortuga B&B
134,Houston,US,75.2,haze,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
135,Udachnyy,RU,-4.61,few clouds,66.4167,112.4,Udachny Hostel
136,Taraz,KZ,17.6,snow,42.9,71.3667,Comfort Inn
138,Port Elizabeth,ZA,73.4,clear sky,-33.918,25.5701,"Radisson Blu Hotel, Port Elizabeth"
139,La Solana,ES,63.0,few clouds,38.9442,-3.2381,Parador de Manzanares
140,Changji,CN,37.4,clear sky,44.0167,87.3167,Lvye Holiday Resort
141,Kahului,US,66.0,moderate rain,20.8947,-156.47,Maui Seaside Hotel
142,Tabas,IR,47.41,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
143,Bambous Virieux,MU,80.6,scattered clouds,-20.3428,57.7575,Shandrani Beachcomber Resort & Spa
144,San Quintin,MX,53.87,few clouds,30.4833,-115.95,Cielito Lindo
145,Werda,BW,84.65,broken clouds,-25.2667,23.2833,KHAMAB KALAHARI RESERVE north lodge
146,Iquitos,PE,87.8,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
147,Manggar,ID,78.67,clear sky,-2.8833,108.2667,Guest Hotel
148,Victoria,HK,71.01,clear sky,22.2855,114.1577,Mini Hotel Central
149,Lata,PT,60.01,scattered clouds,40.1629,-8.3327,Hotel Quinta das Lágrimas
150,Westport,US,41.0,clear sky,41.1415,-73.3579,Hilton Garden Inn Norwalk
151,Sitka,US,30.2,few clouds,57.0531,-135.33,Westmark Sitka
153,Majene,ID,78.71,few clouds,-3.5403,118.9707,Kost Putri RABBANI
154,Ukiah,US,43.0,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
155,Gamba,GA,82.45,overcast clouds,-2.65,10.0,Laguna guest house
156,Camacha,PT,60.8,fog,33.0833,-16.3333,Hotel Porto Santo & Spa
157,Novoanninskiy,RU,27.0,broken clouds,50.5287,42.6747,Sotnik
158,Parrita,CR,81.0,clear sky,9.5201,-84.3225,Playa Bejuco Hotel
159,Road Town,VG,82.4,few clouds,18.4167,-64.6167,Caneel Bay Resort
160,Mazyr,BY,37.51,broken clouds,52.0495,29.2456,Euro Mini-Hotel
161,Fairbanks,US,-20.99,clear sky,64.8378,-147.7164,Pike's Waterfront Lodge
162,Castro,BR,80.08,few clouds,-24.7911,-50.0119,Hotel e Pousada Oosterhuis
163,Great Falls,US,37.4,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
164,Burnie,AU,46.0,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
165,Neryungri,RU,26.02,overcast clouds,56.6709,124.6491,Pyat' Zvozd
166,Nome,US,8.6,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
167,Kortkeros,RU,21.2,light snow,61.8106,51.5806,"Vizyabozh, Baza Otdykha"
168,Makakilo City,US,69.8,clear sky,21.3469,-158.0858,Airport Honolulu Hotel
169,Holme,DK,39.2,broken clouds,56.1138,10.1725,Scandic Aarhus Vest
170,Bonavista,CA,42.8,clear sky,48.6499,-53.1147,Abbott's Bed & Breakfast
172,Zarechnyy,RU,15.53,overcast clouds,53.2036,45.1923,HELIOPARK Cruise
173,Alofi,NU,69.8,few clouds,-19.0595,-169.9187,Scenic Matavai Resort Niue
175,Codrington,AU,51.89,clear sky,-38.2667,141.9667,Yambuk Lake Caravan Park
176,Shimoda,JP,46.0,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
177,Tuatapere,NZ,45.0,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
179,Mount Gambier,AU,46.4,scattered clouds,-37.8333,140.7667,Commodore on the Park
180,Taksimo,RU,22.93,light snow,56.3444,114.8794,"Gostinitsa ""Viktoriya"""
181,Tautira,PF,77.0,few clouds,-17.7333,-149.15,Vanira Lodge
182,Muros,ES,57.0,broken clouds,42.7762,-9.0603,HOTEL NOIA
183,Severo-Kurilsk,RU,28.71,broken clouds,50.6789,156.125,Kak Doma
184,Stolin,BY,38.35,overcast clouds,51.8912,26.846,Stolinskiy Khlebozavod
185,Bonthe,SL,86.45,light rain,7.5264,-12.505,Bonthe Holiday Village
187,Karonga,MW,76.98,light rain,-9.9333,33.9333,Mikoma Beach Lodge
188,Pangnirtung,CA,-20.2,few clouds,66.1451,-65.7125,Kilabuk Lodge
189,Kargasok,RU,11.55,overcast clouds,59.0556,80.8572,Hotel Kargasok
190,Aklavik,CA,-25.6,few clouds,68.2191,-135.0107,Aklavik Inn
191,Ilam,NP,63.77,overcast clouds,26.9167,87.9167,Chiyabari Cottage
192,Kitui,KE,75.33,overcast clouds,-1.367,38.0106,Heritage Bliss Hotel
193,Svetlogorsk,BY,37.11,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
194,Ambulu,ID,76.42,overcast clouds,-8.345,113.6058,Bintang Mulia Hotel & Resto
195,Homer,US,10.4,clear sky,59.6425,-151.5483,Beluga Lake Lodge
196,Ayan,RU,14.02,clear sky,56.45,138.1667,Gostinitsa
197,Monywa,MM,82.22,clear sky,22.1167,95.1333,Monywa Hotel
198,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Sud Hôtel
199,Taicheng,CN,42.49,clear sky,38.731,113.228,Red Banner Hotel
200,Mar Del Plata,AR,75.2,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
201,Khatanga,RU,-13.83,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
202,Ciudad Bolivar,VE,88.52,overcast clouds,8.1222,-63.5497,Hotel Edi
203,Tromso,NO,30.2,light snow,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
204,Moroni,KM,81.3,light rain,-11.7022,43.2551,Hotel les Arcades
205,Kintampo,GH,95.63,overcast clouds,8.0563,-1.7306,Adomaa Memorial Hotel
206,Hurricane,US,34.0,light snow,37.1753,-113.2899,Quality Inn Zion Park Area
207,Tiksi,RU,-4.11,overcast clouds,71.6872,128.8694,Arktika
208,Kannangad,IN,80.92,clear sky,12.3081,75.1063,"Taj Bekal Resort & Spa, Kerala"
209,Wattegama,LK,80.6,few clouds,6.7989,81.4808,Silanrich Hotel
210,Jonkoping,SE,37.4,few clouds,57.7814,14.1562,Scandic Portalen
211,Arlit,NE,89.28,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
212,Dunedin,NZ,55.0,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
213,Skibotn,NO,30.2,light snow,69.3913,20.2679,MIT-FabLab - Solvik
214,Boa Vista,BR,77.0,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
215,Severodvinsk,RU,19.4,light snow,64.5635,39.8302,Park Hotel
216,Lompoc,US,51.8,overcast clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
217,Thompson,CA,15.8,few clouds,55.7435,-97.8558,Burntwood Hotel
218,Mount Isa,AU,77.0,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
220,Yumen,CN,49.82,scattered clouds,40.2833,97.2,玉门宾馆
221,Aden,YE,78.64,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
222,Mogocha,RU,22.71,broken clouds,53.7333,119.7667,Yalta Inn
223,Sao Joao Da Barra,BR,89.6,few clouds,-21.6403,-41.0511,Pousada João Vitor e o Mar
224,Paita,PE,87.8,clear sky,-5.0892,-81.1144,Aloha
225,Alice Springs,AU,68.0,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
226,Itanagar,IN,70.09,scattered clouds,27.1,93.6167,OYO 45507 Hotel Moomsie
227,Tasiilaq,GL,21.2,broken clouds,65.6145,-37.6368,The Red House
228,Terrace,CA,35.6,moderate rain,54.5163,-128.6035,Northern Motor Inn
229,Chicama,PE,73.4,fog,-7.8447,-79.1469,Hospedaje Punta Cana PERU
230,Kaitangata,NZ,52.0,clear sky,-46.2817,169.8464,Nugget View Kaka Point Motel
231,Lavrentiya,RU,16.36,snow,65.5833,-171.0,Nezh. Pos. Nunyamo
232,Mpulungu,ZM,77.2,light rain,-8.7623,31.1141,Isanga Bay Lodge - Lake Tanganyika Zambia
233,Ribeira Grande,PT,60.8,broken clouds,38.5167,-28.7,Hotel do Canal | Horta - Faial
234,Iralaya,HN,82.4,scattered clouds,15.0,-83.2333,Iglesia morava renovada
235,Middle Island,US,42.8,clear sky,40.8843,-72.9373,Hampton Inn Long Island - Brookhaven
236,Karaton,ID,84.99,moderate rain,-6.3424,106.1045,Rizki Hotel & Resto
237,Darhan,MN,39.94,broken clouds,49.4867,105.9228,Comfort Hotel
238,Lebu,CL,65.61,clear sky,-37.6167,-73.65,Hostal Las Lilas
239,Cayenne,GF,84.2,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
240,Acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
241,Qaqortoq,GL,24.8,broken clouds,60.7167,-46.0333,Hotel Qaqortoq
242,Bridgwater,GB,46.99,light rain,51.1284,-3.0036,The Old Vicarage Hotel
243,Sibolga,ID,76.21,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
244,Georgetown,MY,80.6,scattered clouds,5.4112,100.3354,Cititel Penang
245,Korla,CN,54.46,broken clouds,41.7597,86.1469,Gulisitan Hotel
246,Tuktoyaktuk,CA,-11.2,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
247,Carauari,BR,83.3,broken clouds,-4.8828,-66.8958,Hotel Fellip
248,Yulara,AU,68.0,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
249,Berlevag,NO,23.16,overcast clouds,70.8578,29.0864,Kvitbrakka
250,Sorland,NO,39.2,broken clouds,67.667,12.6934,Sjybrygga fiskecamp
251,Smolenka,RU,28.4,broken clouds,52.1352,113.4974,Hotel Mont Blanc
253,Sinnamary,GF,79.41,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
255,Grindavik,IS,28.4,few clouds,63.8424,-22.4338,Hotel Vogar
256,Ruteng,ID,62.89,overcast clouds,-8.6136,120.4721,Hotel FX72 Ruteng
257,Saravan,AM,32.0,scattered clouds,39.7196,45.6483,Olympia Sanatorium
258,Waslala,NI,68.0,scattered clouds,13.2333,-85.3833,Lesly Creeks
260,Pihuamo,MX,80.6,clear sky,19.2499,-103.3828,Hotel Primavera
261,Aviles,ES,57.99,broken clouds,43.5547,-5.9248,Hotel NH Collection Palacio de Avilés
262,Yushan,CN,50.0,mist,31.3776,120.9543,Swissotel Kunshan
263,Zambezi,ZM,74.8,light rain,-13.5432,23.1047,Royal Kutachika Lodge
264,Souillac,MU,80.6,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
265,Humaita,BR,92.25,scattered clouds,-7.5061,-63.0208,Corrêa Hotel
266,Muhos,FI,28.0,light snow,64.808,25.9931,Montta - active camping / campsite Montan
267,Kudahuvadhoo,MV,83.68,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
268,Te Anau,NZ,53.26,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
269,Ipora,BR,83.73,broken clouds,-16.4419,-51.1178,Oásis Motel
270,Canto Do Buriti,BR,85.33,few clouds,-8.11,-42.9444,Novo Hotel
271,Touros,BR,87.8,scattered clouds,-5.1989,-35.4608,Siri Paraíso Hotel
272,Rio Gallegos,AR,59.0,few clouds,-51.6226,-69.2181,Hotel Santa Cruz
273,Yenagoa,NG,88.66,moderate rain,4.9247,6.2642,Ayalla Hotels Limited
274,Kieta,PG,78.31,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
275,Vallenar,CL,79.65,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
276,Seoul,KR,44.6,mist,37.5683,126.9778,Lotte Hotel Seoul
277,College,US,-20.99,few clouds,64.8569,-147.8028,Pike's Waterfront Lodge
278,Peleduy,RU,5.5,scattered clouds,59.6289,112.7406,Гостиница «Уют»
279,Ancud,CL,68.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
280,Baghdad,IQ,60.8,clear sky,33.3406,44.4009,Baghdad Hotel
281,Karratha,AU,81.36,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
282,Lydenburg,ZA,63.0,clear sky,-25.0978,30.4597,The Palms Boutique Hotel
283,Fortuna,US,46.0,overcast clouds,40.5982,-124.1573,Bear River Casino Resort
284,Nelson Bay,AU,75.0,moderate rain,-32.7167,152.15,Mantra Nelson Bay
285,Mabaruma,GY,75.02,overcast clouds,8.2,-59.7833,Small's Enterprise
286,Praia Da Vitoria,PT,63.0,broken clouds,38.7333,-27.0667,Terceira Mar Hotel
287,Haines Junction,CA,-2.2,overcast clouds,60.7522,-137.5108,Parkside Inn
288,Huaral,PE,78.8,clear sky,-11.495,-77.2078,Hotel Madre Perla
289,Portland,US,43.0,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
290,Camabatela,AO,76.05,broken clouds,-8.1881,15.375,Pensão E Restaurantes
291,Andenes,NO,37.4,broken clouds,69.3143,16.1194,Hotell Marena
292,Omsukchan,RU,-14.13,overcast clouds,62.5333,155.8,Zori
293,Beyneu,KZ,25.47,few clouds,45.3167,55.2,NUR
294,Solnechnyy,RU,24.8,clear sky,50.7214,136.6319,Hotel complex Pastoral
295,Nakhon Phanom,TH,76.69,scattered clouds,17.3333,104.4167,เอ.เจ.รีสอร์ท
296,Huarmey,PE,76.95,scattered clouds,-10.0681,-78.1522,Hotel Miramar
297,Christchurch,NZ,59.0,clear sky,-43.5333,172.6333,The George
298,Baruun-Urt,MN,35.89,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
299,Maceio,BR,84.2,broken clouds,-9.6658,-35.7353,Poutur Pousada
300,Mantua,IT,62.01,scattered clouds,45.1667,10.7833,Hotel la Favorita
301,Panzhihua,CN,57.99,clear sky,26.5851,101.7128,Putuoyan Holiday Inn
302,Kushima,JP,53.2,overcast clouds,31.4583,131.2333,Shibushiwan Daikoku Resort Hotel
303,Santa Fe,AR,89.01,scattered clouds,-31.6333,-60.7,Conquistador Hotel
305,Arcata,US,46.99,overcast clouds,40.8665,-124.0828,Eureka Inn Trademark By Wyndham
306,Esperance,AU,53.6,scattered clouds,-33.8667,121.9,Hospitality Esperance
307,Buraydah,SA,71.6,dust,26.326,43.975,فندق راحة السلام
308,Strezhevoy,RU,8.6,clear sky,60.7333,77.5889,Sibiryachka
309,Turukhansk,RU,-25.08,broken clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
310,Tornio,FI,23.0,broken clouds,65.8481,24.1466,Park Hotel Tornio
311,Purbalingga,ID,76.41,overcast clouds,-7.3881,109.3639,Hotel Kencana
313,Ust-Nera,RU,-23.6,scattered clouds,64.5667,143.2,Hotel Ust-Nera
314,Hobyo,SO,80.96,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
315,Paine,CL,73.4,clear sky,-33.8167,-70.75,Paihuen
316,Moose Factory,CA,14.0,light snow,51.2585,-80.6094,Sagashtawao Healing Lodge
317,Ouesso,CG,90.79,overcast clouds,1.6136,16.0517,Hôtel ABENI
318,Hamilton,US,46.0,clear sky,39.1834,-84.5333,Hampton Inn & Suites Cincinnati/Uptown-University Area
319,Yuzhno-Kurilsk,RU,32.16,overcast clouds,44.0306,145.8556,Guesthouse Berloga
320,Ailigandi,PA,81.7,broken clouds,9.2333,-78.0167,Akwa Reef Lodge
322,Okhotsk,RU,-3.46,clear sky,59.3833,143.3,Prozhivaniye V Okhotske
323,Namatanai,PG,78.91,scattered clouds,-3.6667,152.4333,Namatanai Hotel
324,Norrkoping,SE,41.0,overcast clouds,58.5942,16.1826,The Lamp Hotel
325,Broome,US,32.0,clear sky,42.2506,-75.833,"Motel 6 Binghamton, NY"
326,Juegang,CN,48.0,clear sky,32.3174,121.1855,Rudong Y Hotel
327,Dudinka,RU,-19.39,overcast clouds,69.4058,86.1778,Hotel Viktoria
328,Atambua,ID,73.96,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
329,Luwuk,ID,77.65,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
330,Paamiut,GL,19.09,overcast clouds,61.994,-49.6678,Yeet Hotel
331,Akyab,MM,77.85,clear sky,20.15,92.9,Hotel Memory
332,Price,US,28.4,overcast clouds,39.5994,-110.8107,National 9 Inn - Wellington
333,Salinas,US,51.8,overcast clouds,36.6777,-121.6555,The Sanctuary Beach Resort
334,Aksu,CN,55.09,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
335,Herat,AF,41.0,broken clouds,34.5,62.0,Zaher Greenhouse
336,Ornes,NO,39.2,broken clouds,66.8689,13.7078,Svartisen Apartment Hotel
337,Hope,US,72.0,overcast clouds,33.6671,-93.5916,Best Western Hope
